--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
11:39:48 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($84.76)
11:40:19 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($63.60)
11:40:50 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($42.36)
11:41:20 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($50.88)
11:41:51 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($33.92)
11:42:22 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($21.20)
11:42:52 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $8.48
11:43:23 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($8.48)
11:43:54 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($2.80)
11:44:24 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($10.26)
11:44:55 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: ($8.48)
11:45:26 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $8.48
11:45:57 ET | HOLDING  | Side: Sell, Qty:  -424, P/L: $80.56
11:46:27 ET | EXIT: CONTRARY SIGNAL (BUY) | Submitting order to close -424 shares.
11:46:58 ET | Polling... | Prediction: Buy
11:46:58 ET | SIGNAL: BUY  | Submitting market order for 849 shares.
11:47:29 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $158.34
11:48:00 ET | HOLDING  | Side: Buy , Qty:   849, P/L: ($87.28)
11:48:30 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $14.01
11:49:01 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $14.77
11:49:32 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $81.93
11:50:03 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $90.42
11:50:34 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $9.77
11:51:04 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $213.53
11:51:35 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $234.75
11:52:06 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $285.69
11:52:36 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $319.65
11:53:07 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $294.18
11:53:38 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $370.59
11:54:08 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $430.02
11:54:39 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $506.43
11:55:10 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $544.64
11:55:41 ET | HOLDING  | Side: Buy , Qty:   849, P/L: $608.31
11:56:11 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 849 shares.
11:56:42 ET | Polling... | Prediction: Sell
